team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
VAN,2008,VAN,2008020007,VAN,CGY,HOME,20081009,Team Level,other,0.5856,0.2,0.25,88.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.065,0.065,0.065,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.877,0.046,0.235,0.4,0.082,1.623,0.613,0.045,0.046,0.045,2.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.046,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,0.0,0.088,0.0,0.0,0.134,0.134,0.13
VAN,2008,VAN,2008020007,VAN,CGY,HOME,20081009,Team Level,all,0.3889,0.47,0.4865,3600.0,24.912,2.63,1.867,5.295,0.84,13.932,10.501,2.584,2.654,2.608,23.0,13.0,11.0,47.0,6.0,1.0,1.0,8.0,0.0,10.0,11.0,17.0,30.0,8.0,19.0,30.0,18.0,5.0,8.0,23.0,12.0,1.0,0.924,1.364,0.341,2.0,3.0,1.0,48.864,36.0,36.704,5.0,0.422,0.341,0.341,2.645,2.673,2.654,27.489,4.132,1.891,5.836,0.942,13.995,11.203,4.109,4.116,4.093,25.0,13.0,15.0,53.0,0.0,0.0,0.0,7.0,0.0,14.0,17.0,25.0,38.0,11.0,25.0,33.0,12.0,6.0,8.0,25.0,8.0,5.0,0.647,1.228,2.257,0.0,0.0,0.0,50.542,38.0,37.401,3.0,0.483,0.0,0.0,4.615,4.598,4.566
VAN,2008,VAN,2008020007,VAN,CGY,HOME,20081009,Team Level,5on5,0.4655,0.4262,0.4565,2180.0,14.933,1.51,1.104,3.281,0.48,8.58,6.045,1.498,1.534,1.522,10.0,11.0,5.0,26.0,4.0,0.0,0.0,3.0,0.0,7.0,7.0,6.0,17.0,4.0,8.0,17.0,15.0,4.0,4.0,13.0,8.0,0.0,0.581,0.928,0.0,2.0,2.0,0.0,27.864,21.0,21.704,3.0,0.229,0.0,0.0,1.739,1.766,1.751,17.921,1.734,1.173,4.271,0.595,9.43,7.797,1.712,1.718,1.697,15.0,10.0,10.0,35.0,0.0,0.0,0.0,6.0,0.0,8.0,11.0,15.0,25.0,9.0,21.0,16.0,8.0,5.0,7.0,17.0,8.0,0.0,0.506,1.228,0.0,0.0,0.0,0.0,32.542,25.0,24.401,3.0,0.242,0.0,0.0,1.975,1.958,1.931
VAN,2008,VAN,2008020007,VAN,CGY,HOME,20081009,Team Level,4on5,0.0607,0.2667,0.3,572.0,2.049,0.134,0.099,0.248,0.052,0.701,1.766,0.133,0.134,0.133,3.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,0.0,0.048,0.086,0.0,0.0,1.0,0.0,4.0,3.0,3.0,1.0,0.025,0.0,0.0,0.159,0.159,0.158,5.351,2.072,0.343,0.847,0.204,2.285,1.248,2.072,2.072,2.072,5.0,2.0,4.0,11.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,5.0,7.0,1.0,2.0,6.0,1.0,0.0,0.0,3.0,0.0,4.0,0.035,0.0,2.036,0.0,0.0,0.0,11.0,7.0,7.0,0.0,0.122,0.0,0.0,2.193,2.193,2.193
VAN,2008,VAN,2008020007,VAN,CGY,HOME,20081009,Team Level,5on4,0.7669,0.8421,0.7857,760.0,7.93,0.921,0.664,1.766,0.308,4.65,2.691,0.888,0.921,0.888,9.0,2.0,5.0,16.0,1.0,1.0,1.0,4.0,0.0,2.0,3.0,8.0,10.0,2.0,4.0,8.0,2.0,0.0,3.0,7.0,3.0,1.0,0.23,0.349,0.341,0.0,0.0,1.0,16.0,11.0,11.0,1.0,0.168,0.341,0.341,0.748,0.748,0.745,2.339,0.28,0.139,0.318,0.061,0.657,1.546,0.28,0.28,0.28,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,2.0,10.0,3.0,1.0,1.0,2.0,0.0,1.0,0.059,0.0,0.221,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.031,0.0,0.0,0.312,0.312,0.312
VAN,2008,VAN,2008020026,VAN,CGY,AWAY,20081011,Team Level,other,0.793,0.6154,0.6,238.0,3.692,0.387,0.182,1.026,0.128,1.608,1.734,0.38,0.387,0.38,4.0,2.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,5.0,1.0,2.0,5.0,4.0,0.0,0.0,5.0,0.0,1.0,0.164,0.0,0.223,1.0,0.0,0.0,8.0,6.0,6.0,0.0,0.047,0.0,0.0,0.369,0.369,0.36,3.069,0.101,0.097,0.753,0.097,1.305,1.646,0.101,0.101,0.101,4.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,4.0,4.0,0.0,0.0,4.0,2.0,3.0,1.0,4.0,0.0,0.0,0.101,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,1.0,0.022,0.0,0.0,0.123,0.123,0.123
VAN,2008,VAN,2008020026,VAN,CGY,AWAY,20081011,Team Level,all,0.5634,0.4775,0.4943,3834.0,31.311,3.588,2.252,7.038,0.947,15.985,12.256,3.468,3.666,3.543,34.0,9.0,10.0,53.0,5.0,3.0,1.0,8.0,0.0,13.0,14.0,29.0,38.0,11.0,31.0,36.0,20.0,10.0,8.0,34.0,3.0,6.0,1.01,0.461,2.117,1.0,3.0,1.0,52.825,43.0,42.993,8.0,0.52,1.032,1.032,3.011,3.061,3.008,32.106,2.78,2.173,7.99,1.009,17.297,12.75,2.701,2.766,2.688,29.0,15.0,14.0,58.0,4.0,1.0,1.0,13.0,2.0,10.0,14.0,25.0,40.0,10.0,29.0,38.0,30.0,11.0,12.0,32.0,11.0,1.0,1.008,1.351,0.421,2.0,1.0,1.0,58.597,44.0,44.457,9.0,0.473,0.421,0.599,2.655,2.638,2.585
VAN,2008,VAN,2008020026,VAN,CGY,AWAY,20081011,Team Level,5on5,0.5004,0.4177,0.4444,2620.0,20.89,2.267,1.561,4.709,0.624,10.641,8.198,2.154,2.345,2.229,22.0,6.0,5.0,33.0,4.0,3.0,1.0,7.0,0.0,8.0,6.0,18.0,24.0,9.0,27.0,25.0,15.0,8.0,8.0,22.0,3.0,3.0,0.774,0.461,1.032,0.0,3.0,1.0,32.825,28.0,27.993,8.0,0.329,1.032,1.032,1.564,1.615,1.57,25.161,2.263,1.673,6.632,0.825,13.703,9.904,2.21,2.249,2.197,22.0,13.0,11.0,46.0,4.0,1.0,1.0,12.0,1.0,9.0,8.0,18.0,31.0,8.0,25.0,27.0,24.0,4.0,7.0,26.0,8.0,1.0,0.795,1.047,0.421,2.0,1.0,1.0,46.597,35.0,35.457,7.0,0.349,0.421,0.599,2.014,1.997,1.977
VAN,2008,VAN,2008020026,VAN,CGY,AWAY,20081011,Team Level,4on5,0.0,0.0,0.0,488.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.876,0.415,0.403,0.605,0.087,2.29,1.2,0.39,0.415,0.39,3.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,5.0,2.0,4.0,3.0,0.0,2.0,3.0,2.0,3.0,0.0,0.111,0.304,0.0,0.0,0.0,0.0,7.0,5.0,5.0,0.0,0.102,0.0,0.0,0.517,0.517,0.485
VAN,2008,VAN,2008020026,VAN,CGY,AWAY,20081011,Team Level,5on4,1.0,1.0,1.0,488.0,6.728,0.934,0.509,1.303,0.195,3.736,2.324,0.934,0.934,0.934,8.0,1.0,3.0,12.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,8.0,9.0,1.0,2.0,3.0,1.0,1.0,0.0,7.0,0.0,2.0,0.071,0.0,0.863,0.0,0.0,0.0,12.0,9.0,9.0,0.0,0.143,0.0,0.0,1.077,1.077,1.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
