,home_or_away,avgGoalDif,avgHF,winStreak,avgPPG,daysSinceLast,win
0,1,0.0,0.0,0.0,0.0,0.0,True
1,0,0.0,0.0,1.0,0.0,2.0,True
2,0,0.0,0.0,2.0,0.0,2.0,False
3,0,0.0,0.0,0.0,0.0,3.0,True
4,0,0.0,0.0,1.0,0.0,1.0,False
5,0,0.0,0.0,0.0,0.0,2.0,False
6,0,0.0,0.0,0.0,0.0,2.0,False
7,1,0.0,0.0,0.0,0.0,4.0,True
8,1,0.0,18.125,1.0,1.0,3.0,False
9,0,-0.875,17.125,0.0,0.75,2.0,True
10,0,-0.5,16.75,1.0,0.75,1.0,False
11,1,0.0,15.75,0.0,0.75,2.0,False
12,1,-0.25,16.0,0.0,0.5,2.0,True
13,1,0.625,15.875,1.0,0.75,2.0,True
14,1,1.0,15.375,2.0,1.0,2.0,True
15,1,1.5,13.875,3.0,1.25,4.0,False
16,1,1.125,14.625,0.0,1.0,3.0,True
17,0,1.5,15.375,1.0,1.25,2.0,False
18,0,1.0,15.375,0.0,1.0,2.0,True
19,0,1.375,15.875,1.0,1.25,1.0,True
20,0,1.625,16.0,2.0,1.5,2.0,True
21,1,1.375,17.0,3.0,1.5,2.0,True
22,1,1.375,17.5,4.0,1.5,3.0,False
23,0,1.0,17.875,0.0,1.25,2.0,False
24,0,0.75,17.25,0.0,1.25,2.0,False
25,0,0.375,18.75,0.0,1.0,3.0,False
26,0,0.25,18.75,0.0,1.0,1.0,True
27,0,0.0,19.125,1.0,1.0,2.0,False
28,0,-0.125,19.0,0.0,0.75,2.0,True
29,0,-0.125,18.125,1.0,0.75,4.0,False
30,1,-0.625,17.75,0.0,0.5,1.0,True
31,1,-0.25,18.125,1.0,0.75,3.0,True
32,1,0.25,18.625,2.0,1.0,3.0,False
33,1,0.125,16.875,0.0,1.0,2.0,True
34,0,0.375,16.375,1.0,1.25,1.0,False
35,1,-0.375,15.375,0.0,1.0,3.0,False
